Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
TR-322;;Tibouchina heteromalla;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-321;;Tibouchina semidecandra;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-088;;Tillandsia bergeri;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-195;;Tillandsia organensis;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-010;;Titanopsis calcarea;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-228;;Tradescantia sillamontana;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-224;;Tradescantia spathacea;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-225;;Tradescantia zanonia;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-226;;Tradescantia zebrina;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-011;;Trichodiadema densum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
